TIME_TO_INTERVAL,Power,Radiation,ClearSkyRadiation,Radiation(SDv3)(CWB),Radiation(SDv3)(IBM),Radiation(SDv3)(OWM),Radiation(MSM),WeatherType(CWB),WeatherType(pred)(CWB),WeatherType(IBM),WeatherType(pred)(IBM),WeatherType(OWM),WeatherType(pred)(OWM),ApparentTemperature(pred)[CWB],Temperature(pred)[CWB],RelativeHumidity(pred)[CWB],FeelsLikeTemperature(pred)[IBM],Temperature(pred)[IBM],RelativeHumidity(pred)[IBM],FeelsLikeTemperature(pred)[OWM],Temperature(pred)[OWM],RelativeHumidity(pred)[OWM]
2021-05-08 09:00:00,6.138860794665187,0.8361111111111109,0.772689244,0.4953684924702894,0.4753554174415869,0.5162986396816692,0.8104899999999999,多雲,多雲,多雲,多雲,晴,晴,29,27,74,34,30,67,29.170000000000016,27.080000000000037,72
2021-05-08 10:00:00,6.712052777777783,0.8083333333333333,0.8993022140000001,0.5453862628941855,0.420397872025839,0.5323884852565491,0.06994,多雲,多雲,多雲,多雲,晴,晴,29,27,74,32,28,74,29.170000000000016,27.080000000000037,72
2021-05-08 11:00:00,5.751083333333334,0.9805555555555556,0.963131528,0.4437950150033401,0.3298957778507477,0.44276884245525344,1.02031,多雲,多雲,多雲,多雲,晴,晴,29,27,74,36,31,61,29.170000000000016,27.080000000000037,72
2021-05-08 12:00:00,4.34843333333336,0.7888888888888889,0.95947107,0.7895889679722643,0.7895889679722643,0.576391454645998,0.39085,晴,晴,局部多雲,局部多雲,晴,晴,32,30,67,38,33,55,33.52000000000004,30.69,57
2021-05-08 13:00:00,4.375130979498871,0.6888888888888889,0.888602937,0.911782017965819,0.911782017965819,0.6902150476040554,0.02057,晴,晴,局部多雲,局部多雲,晴,晴,32,30,67,37,32,57,33.52000000000004,30.69,57
2021-05-08 14:00:00,3.5713651591289737,0.4805555555555555,0.7557940540000001,0.7315727124077739,0.7315727124077739,0.6250073501376348,0.8104899999999999,晴,晴,局部多雲,局部多雲,晴,晴,32,30,67,38,33,56,33.52000000000004,30.69,57
2021-05-08 15:00:00,3.0122777777777743,0.4611111111111111,0.571308638,0.4372211765201025,0.5779492201558408,0.4929742065564456,0.37028,多雲,多雲,局部多雲,局部多雲,晴,晴,35,31,73,37,32,62,33.760000000000055,30.700000000000053,58
2021-05-08 16:00:00,2.1440888888889083,0.26666666666666666,0.351236103,0.22305717570718725,0.2966287879763497,0.2509177542453585,0.41553,多雲,多雲,局部多雲,局部多雲,晴,晴,35,31,73,38,32,58,33.760000000000055,30.700000000000053,58
2021-05-08 17:00:00,0.5772694444444811,0.05555555555555556,0.125960924,0.07457338369595383,0.09998519874787697,0.08263102187832026,0.1728,多雲,多雲,局部多雲,局部多雲,晴,晴,35,31,73,36,31,65,33.760000000000055,30.700000000000053,58
2021-05-09 06:00:00,1.2574545454545452,0.15555555555555556,0.149126559,0.08342188166717586,0.08246643593122098,0.08312345651413862,0.00411,多雲,多雲,局部多雲,局部多雲,晴,晴,27,24,84,25,25,88,25.150000000000034,24.5,82
2021-05-09 07:00:00,2.687354085603112,0.3583333333333333,0.376391101,0.216661944160976,0.21662086797163704,0.1973778436709604,0.03699,多雲,多雲,局部多雲,局部多雲,晴,晴,27,24,84,24,24,90,25.150000000000034,24.5,82
2021-05-09 08:00:00,4.508855555555547,0.6111111111111112,0.5933693760000001,0.3723133858232616,0.5663181040071043,0.3967595264774944,0.63298,多雲,多雲,局部多雲,局部多雲,晴,晴,27,24,84,30,26,84,25.150000000000034,24.5,82
2021-05-09 09:00:00,5.434288888888866,0.7694444444444444,0.772655786,0.5999932472630467,0.6486417592568917,0.5695760541324733,0.81383,晴,晴,局部多雲,局部多雲,晴,晴,30,28,72,35,30,65,30.280000000000033,27.800000000000008,70
2021-05-09 10:00:00,6.8693138888888985,0.9333333333333332,0.898958837,0.4802139464804687,0.6674630553277033,0.5781584529961957,0.94535,晴,晴,局部多雲,局部多雲,晴,晴,30,28,72,33,28,74,30.280000000000033,27.800000000000008,70
2021-05-09 11:00:00,6.958498322147639,0.9583333333333334,0.962602395,0.4384231553978566,0.5714481730678982,0.5321074671022428,1.0029,晴,晴,局部多雲,局部多雲,晴,晴,30,28,72,36,32,59,30.280000000000033,27.800000000000008,70
2021-05-09 12:00:00,7.802463848720797,1.0083333333333333,0.9588927,0.7888797840268885,0.7888797840268885,0.611438895473734,0.98235,晴,晴,局部多雲,局部多雲,晴,晴,33,31,65,38,33,52,34.100000000000016,31.23000000000001,55
2021-05-09 13:00:00,7.326175000000006,0.9138888888888888,0.888115353,0.8370247735004823,0.8370247735004823,0.6896154155552588,0.72751,晴,晴,局部多雲,局部多雲,晴,晴,33,31,65,37,33,54,34.100000000000016,31.23000000000001,55
2021-05-09 14:00:00,6.022583333333326,0.7444444444444445,0.75553205,0.6476757252916896,0.6476757252916896,0.6007237315913382,0.15208000000000002,晴,晴,局部多雲,局部多雲,晴,晴,33,31,65,38,33,54,34.100000000000016,31.23000000000001,55
2021-05-09 15:00:00,4.5242416666666605,0.5805555555555555,0.571393049,0.44325914214652623,0.5390828216683301,0.4877357430861425,0.30416000000000004,多雲,多雲,局部多雲,局部多雲,晴,晴,36,31,67,36,31,58,34.24000000000001,31.18000000000001,56
2021-05-09 16:00:00,2.599955244755246,0.34444444444444444,0.351758151,0.2343072863740654,0.2870674540575001,0.2539194174808858,0.37814,多雲,多雲,局部多雲,局部多雲,晴,晴,36,31,67,37,32,55,34.24000000000001,31.18000000000001,56
2021-05-09 17:00:00,0.4856975748930042,0.06944444444444445,0.126848207,0.07031073907963599,0.08577530225835431,0.07866871931690575,0.18085,多雲,多雲,局部多雲,局部多雲,晴,晴,36,31,67,34,30,60,34.24000000000001,31.18000000000001,56
